0.04,1,-0.79,1,-0.58,1,1,1,1,1,-0.49,-0.43,-0.38,1,1
0.88,2,-0.79,1,-0.58,2,2,2,1,1,-0.49,-0.43,-0.38,1,1
-0.03,3,-0.79,2,-0.58,3,3,1,1,1,-0.49,-0.43,-0.38,1,1
1.11,3,-0.79,3,-0.58,2,3,2,2,1,-0.49,-0.43,-0.38,1,1
-0.79,3,-0.79,1,-0.58,2,4,3,2,2,-0.49,-0.43,-0.38,2,1
-0.11,3,-0.79,4,-0.58,2,2,3,1,2,-0.49,-0.43,-0.38,1,1
0.8,3,-0.79,5,-0.58,4,5,1,2,2,-0.49,-0.43,-0.38,3,1
1.03,2,-0.79,2,-0.58,2,2,2,1,1,-0.49,-0.43,-0.38,1,2
-0.57,3,-0.79,4,-0.58,1,4,1,1,2,-0.49,-0.43,-0.38,1,2
0.27,3,-0.79,1,-0.58,2,2,2,1,1,-0.49,-0.43,-0.38,1,2
-0.11,3,-0.79,6,-0.58,2,2,2,2,1,-0.49,-0.43,-0.38,1,2
-0.64,1,-0.79,1,-0.58,2,4,2,3,1,-0.49,-0.43,-0.38,4,2
-1.18,3,-0.79,1,-0.58,1,1,4,1,2,-0.49,-0.43,-0.38,1,1
-0.49,3,-0.79,7,-0.58,1,6,1,2,1,-0.49,-0.43,-0.38,1,1
-0.34,3,-0.79,8,-0.58,2,7,2,4,1,-0.49,-0.43,-0.38,5,1
-1.02,2,-0.79,2,-0.58,1,8,4,1,1,-0.49,-0.43,-0.38,1,1
-0.49,3,-0.79,2,-0.58,1,9,5,1,1,-0.49,-0.43,-0.38,1,1
-0.03,3,-0.79,3,-0.58,2,6,2,1,1,-0.49,-0.43,-0.38,1,1
0.35,2,-0.79,4,-0.58,3,2,5,1,2,-0.49,-0.43,-0.38,1,2
0.12,3,-0.79,9,-0.58,2,4,2,1,1,-0.49,-0.43,-0.38,1,2
1.18,3,-0.79,2,-0.58,5,5,5,2,2,-0.49,-0.43,-0.38,1,1
-0.26,4,-0.79,5,-0.58,2,8,2,2,1,-0.49,-0.43,-0.38,1,1
0.35,3,-0.79,3,-0.58,2,7,2,1,1,-0.49,-0.43,-0.38,1,1
1.57,3,-0.79,2,-0.58,3,10,5,1,2,-0.49,-0.43,-0.38,1,1
1.34,5,-0.79,1,-0.58,2,10,2,1,1,-0.49,-0.43,-0.38,1,2
-1.48,3,-0.79,2,-0.58,1,11,4,1,1,-0.49,-0.43,-0.38,1,1
0.04,3,-0.79,2,-0.58,3,2,1,1,1,-0.49,-0.43,-0.38,1,1
0.8,3,-0.79,2,-0.58,2,11,2,1,1,-0.49,-0.43,-0.38,1,1
-1.18,5,-0.79,7,-0.58,1,12,1,1,1,-0.49,-0.43,-0.38,1,1
